Badge Title,Issuer,Badge Date
IBM Advocate 2026,IBM,2026-06-15
IBM Contributor 2026,IBM,2026-06-15
Microsoft Certified Trainer (MCT) 2026,Microsoft,2026-05-27
IBM Champion 2026,IBM,2026-03-09
Microsoft Global Hackathon 2025,The Microsoft Garage,2025-07-30
Just Another Kusto Hacker,Microsoft Azure Data Explorer,2025-04-04
HashiCorp Certified: Terraform Associate (003),IBM Professional Certification,2025-02-12
Jumpstart Drops contributor Level 1,Arc Jumpstart,2024-11-18
Instructor Recognition - First Class Delivered,Skillable,2024-04-18
Instructor Recognition - First Student Reached,Skillable,2024-04-18
GitHub Foundations,GitHub,2024-01-18
Copilot for M365 Achiever Badge - Foundational,Microsoft AI Business Solutions Enablement,2024-01-15
Microsoft Global Hackathon 2023,The Microsoft Garage,2023-08-23
GitHub Administration,GitHub,2023-08-04
Microsoft Most Valuable Professional (MVP) Alumni,Microsoft Most Valuable Professionals Program,2023-05-15
Microsoft Certified Trainer 2023-2024,Microsoft,2023-01-27
Kusto Detective Agency - Case #1 Badge,Microsoft Azure Data Explorer,2022-11-15
Kusto Detective Agency - Case #2 Badge,Microsoft Azure Data Explorer,2022-11-15
Kusto Detective Agency - Onboarding,Microsoft Azure Data Explorer,2022-11-15
STEM Ambassador 15 hours of engagement 2021/2022,STEM Learning,2022-10-19
Collaborator - Azure Architecture Center,Microsoft Student Ambassadors,2022-10-02
AZ-400: Designing and Implementing Microsoft DevOps Solutions,Microsoft,2022-09-23
Microsoft Certified Trainer 2022-2023,Microsoft,2022-01-27
MCE: Microsoft Certified Educator,Microsoft,2021-07-28
Event Speaker Gold,ConnectED - CE&S Learning Community,2021-07-08
External User Group Gold,ConnectED - CE&S Learning Community,2021-07-08
Evangelist - Cloud Adoption Framework for Azure,Microsoft Student Ambassadors,2021-06-30
Collaborator - Cloud Adoption Framework for Azure,Microsoft Student Ambassadors,2021-04-20
Evangelist - Cloud Adoption Framework for Azure,Microsoft Student Ambassadors,2021-04-20
"Microsoft Certified: Security, Compliance, and Identity Fundamentals",Microsoft,2021-04-19
Microsoft Certified Trainer 2021-2022,Microsoft,2021-01-27
Microsoft Certified: Azure Data Fundamentals,Microsoft,2020-07-15
Microsoft Certified: Azure AI Fundamentals,Microsoft,2020-07-09
Event Speaker Gold,ConnectED - CE&S Learning Community,2020-02-29
Microsoft Certified: Power Platform Fundamentals,Microsoft,2020-02-21
Microsoft Certified Trainer 2020-2021,Microsoft,2020-01-26
Accessibility in Action,Microsoft Accessibility,2019-09-29
External User Group Gold,ConnectED - CE&S Learning Community,2019-02-15
Microsoft 365 Certified: Fundamentals,Microsoft,2019-02-06
Microsoft Certified: Azure Fundamentals,Microsoft,2019-01-04
Exam 535: Architecting Microsoft Azure Solutions,Microsoft,2018-11-29
MCSA: Cloud Platform - Certified 2018,Microsoft,2018-11-29
AZ-300 Microsoft Azure Architect Technologies,Microsoft,2018-11-13
Event Speaker Silver,ConnectED - CE&S Learning Community,2018-08-30
Microsoft Global Challenger,Microsoft Global Challenger,2018-05-29
Exam 533: Implementing Microsoft Azure Infrastructure Solutions,Microsoft,2018-04-17
MCSE: Cloud Platform and Infrastructure — Certified 2018,Microsoft,2018-04-17
Exam 413: Designing and Implementing a Server Infrastructure,Microsoft,2014-12-15
